词条,词频
194.13,1
42.45%,1
2.45%,1
4.63,1
4950.40,1
14.84%,2
377.77,1
商飞,1
TGF,1
包线,1
767.21,1
741.44,1
035.56,1
643.26,1
12.12%,1
260.98,1
596.27,1
32.11%,2
151.67,2
857.15,1
15.84%,1
158.38,1
141.62,1
670.20,3
039.85,1
384.10,1
35.55%,1
212.91,1
467.69,1
116.54%,1
200.79,1
2.83%,2
251.05,1
142.16,1
568,2
307.53,1
皮箱,1
6625.83,1
511.15,1
5.01%,1
70.64%,1
NetEagle3.0,1
mpu,1
华讯云,1
cClient,2
华存云,6
cResource,2
cStorage,2
封闭系统,4
华宇云,1
计算中心,2
坐席,1
新线,2
QK6,1
QK11,1
旨以,1
812.40,1
33.93%,1
0.55,2
均衡性,2
098.26,1
72.58%,1
亏损额,1
330kV,2
3934,1
5071,1
1666,1
3236,1
壳式,1
550.09,1
22.55%,1
1500MVA,2
直流电,3
6250A,1
509MVA,1
涡流损耗,1
双器,2
身自,1
端部,2
身单,1
合理布局,2
大移,1
相角,1
733,1
56.8,1
37.5%,1
4.1%,1
环球时报,1
18.68%,1
26.64%,1
48.65%,1
控驱,1
544.75,1
107.77%,1
912.20,1
23.65%,1
279.56,1
529,2
299.69,1
1.57%,1
47.30%,1
19.08%,1
37.52%,1
964.40,1
高活性,1
嵌段聚合,1
主链,1
用聚,1
抗碱,1
2094.99,1
20.93%,1
4.97%,1
538.43,1
118.63%,1
116.41,1
697.13,1
钠基,1
那普利,1
10.32%,1
调强,1
73.15%,1
能动,1
形管,1
七十余,1
三十多,1
硫双威,1
残杀,1
威原,1
乳油,3
草酮,3
硫氟肟醚,1
液除,2
55%,1
镍氢电池,2
4.35,1
富锂,1
贵州铜仁地区,1
SAFT,1
松下,1
式样,1
2mg,1
提温,1
料浆,1
白石,1
房柱法,1
出矿,1
最有,5
前途,1
两三年,1
潮热,3
高介电,1
电子电路,3
Dk,1
Df,1
合法,3
双面板,1
粗度,1
越来越快,1
过电,1
孔铜,2
引脚,1
更密,2
更细,1
隔热材料,1
硅酸铝,1
淄博市,1
102.61,1
3929.02,1
428.74,1
景气,1
745.64,1
574.27,1
067.89,1
1549.56,1
磨刃,1
手术器械,1
次年,1
38.56%,1
热切,1
36.38%,1
663.77,1
241.34,1
不好,1
541.66,1
023.64,1
6.47%,2
29.01%,1
361.16,1
32.97%,1
235.85,1
20.73%,1
挚信,1
鸿达,1
907.90,1
40.17%,1
517.94,1
22.83%,1
160.02,1
252.12,1
608.40,1
5.96%,1
395.18,1
330.32,1
22.85%,1
38.20%,1
51.61%,2
60.69%,1
89.81%,1
952.93,1
21.87%,1
600.09,1
998.27,1
3416.43,1
44.50%,1
头枕,2
支杆,1
559,1
183.62,1
40.61,1
条建,1
鼻锥,2
油槽,2
798.12,1
236.57%,2
OPLC,1
6010.46,1
69.03,1
条保,1
808.77,1
964.86,1
5.75%,1
0.57,1
228.54,1
191.59,1
31.61%,1
123.34,1
643.12,1
L80,1
13Cr,1
C90,1
CB90S,1
N80,1
1Cr,1
枪管,1
HQSC1,1
HQST1,1
69.74,1
CI12002,2
98.50%,1
73.36%,1
91.22%,1
963.01,1
12.79%,1
1.57,1
4.69,1
87.11%,1
311.12,1
708,1
海关总署,2
两条腿走,1
效有,1
供需双方,1
四款,1
混合材料,2
商发,2
343.87,1
沙发,1
16.51%,1
薄本纸,1
双阳,1
72.80%,1
2521.30,1
对乙酰氨基酚,2
芬敏,1
肾素,1
016.10,1
1.73%,1
080.47,1
丝单,1
3150m,1
2750m,1
低旦,4
防黄变,2
运动服装,2
布头,2
布纱,2
垫布,2
缩水,1
木轴处,1
起卷,1
减短,1
7m,1
配胶,2
浸胶液,1
毛丝,1
底色,1
偏黄,1
筒子,1
级品,2
挑出,2
偏低,1
滤材,1
丝板,1
疵点,5
丝毛丝,1
一性,1
捻线,1
织布,1
检出率,1
调胶,2
人为因素,5
环境因素,1
对浸,1
三进,2
三出,2
30KVAUPS,2
400KW,1
工频,1
600KVAUPS,1
不规则,1
范的,1
532.85,1
10.61%,1
089.59,1
10.31%,1
643,1
311.16,1
6.17%,1
44.67%,1
硅谷,1
至上,1
1419,1
管理科学,1
孤立,1
布式,1
数字通信,1
煤矿主,1
矿工,1
矿难,1
勋章,2
蔷薇科,2
花境,2
清水湾,2
湘湖,2
绿城,2
黄浦,2
诊治,1
服务到位,2
611.58,1
368.44,1
15.75%,2
实船,1
铺管,2
新华,2
RUV,1
样梯,2
塔中,1
机床厂,2
切点,1
运抵,1
在位,1
堆芯,1
主任委员,1
CAP14000,1
47.94%,1
2.12,1
5g,1
Kwh,1
IGCC,7
1200MW,1
6m,1
滚珠,1
平面磨床,1
Rd,1
继非,1
布司,1
脉血康,1
续保,1
花芪,2
首保,1
砂石,1
热磨出,1
定焦,1
数码影像,1
1.73,2
抗凝,1
总结会,1
马樱丹,1
宁等,1
恒流阀,1
有近,2
向物,3
Mid,1
loss,1
24L,1
对无胶,2
压合型,2
平板显示器,1
LH1630,1
LH400T,1
认证费,1
上门服务,2
综管,1
预检,1
就诊,2
抄方,1
配药,1
app,1
CIS5.5,1
THIS5.0,1
942.30,1
首项,1
万点,2
久信,1
围术期,1
258.19,1
958.91,1
675.12,1
871.74,1
TKD,1
K3215,1
与物,3
重点高校,1
录波型,3
四表,2
Javacard,2
N3,3
PBOC3.0,1
QPBOC,1
MIOP,2
种蒙草,1
蒙古高原,1
土著,1
233.52,1
322.03,1
36.34%,1
947.36,1
31.96%,1
计算机系统,3
751.57,1
公司债券,2
4128.24,1
22.75%,2
498,1
268.58,1
40.83%,1
3203.02,1
精锻,2
与华,1
P415,1
通过审查,2
准有,1
见本,2
来电,1
145kVHGIS,1
KMEA,1
川开,1
CESI,1
72.40%,1
泰安市,3
廊桥,1
承制,1
反坦克,1
军工企业,1
上档次,1
锰粉,1
大龙,2
大足,2
红蝶,2
低铁氢,1
氧化锶,2
硝酸锶,2
法高纯,1
碳酸锶,3
芒硝,1
改进法,1
锰法,1
717.56,1
124.23,1
44.86%,1
031.75,1
314.19,1
43.68%,1
958.42,1
10.35%,1
991,2
685.00,1
套圈,1
三辊,3
孔型,2
071.47,1
557.39,1
155.12,1
975,1
322.49,1
21.06%,1
船上,1
浮吊,1
重物,1
移位,1
997.15,1
1238,1
FF,1
水煤浆,10
铁矿,1
谭建荣,1
20.6%,1
iUAP,1
iCOP,1
12.9%,1
53.68%,2
1.85%,1
13.49%,1
0.92%,2
ACI,1
617.18,1
63.36%,1
582.59,1
65.88%,1
462,1
298.78,1
27.39%,1
年公,2
528.23,1
17.14%,1
Qrios,1
EX60,1
巨幕,1
观影,1
VISA,3
MasterCard,4
AmericanExpress,1
JCB,2
M2M,2
GSMA,1
eUICC,1
涉税,2
百旺,1
TCore,1
慧教云,1
课中,1
课后,1
课内,1
课外,1
全教,1
测验,1
142.92,1
4.49%,3
591.24,1
10.01%,1
551.68,1
89.99%,1
000.98,1
50.13%,1
触式,2
收费公路,1
WIB1.3,1
读存储器,1
读写操作,1
WCDMAJAVA3GOTA,1
WCDMA3G,1
上网卡,1
SIM,4
JAVAUSIMWIB,1
SmartTrust,1
交通卡,1
JAVAEMV,2
3GJAVA,1
货源,2
NATIVE,1
UranusafeKeyV2,1
13.56,2
借贷,1
Mchip,1
SM2,1
USIM,1
崛起,2
试水,1
RFSIM,1
WAVE,1
辫子,1
ZIGBEE,1
八龙,1
尼泊尔,1
OTA,3
中行,1
浦发银行,1
联名卡,1
金卡,2
营商,1
429.46,2
566.23,1
13.86%,2
687.02,1
13.40%,1
22.84%,1
10.09%,1
548.00,1
2387.03,1
金甲,1
防线,1
786.17,1
72.51%,1
16.59%,1
4186.21,1
31.54%,2
683.05,1
19.92%,1
995,1
813.34,1
93.87%,1
687.56,1
161.79%,1
明朗,1
多表,1
DDS71,2
量程,5
线制,3
NLN137,2
CEC,2
列明,1
144.39,2
142.60,1
19.6%,1
22.49%,1
46.89%,1
4.9%,2
13.0%,1
Native,1
JavaCard,1
SIMWAVE,1
UAM,1
算机,1
589,1
品种齐全,1
501,1
5.0%,1
790,2
467.19,1
7475.46,1
369.67,1
934,2
8.10%,3
601,1
756,2
野生植物,1
最新动向,1
美尚,1
绿之源,1
784.61,1
40.85%,1
以手性,1
熟练,1
驾驭,1
重氮化,1
年期,1
水冷式,1
浮尘,1
3028LA,1
摇头,1
2912,1
L4500,1
沉入,1
KN8822,1
888.38,1
101.34,1
发与,1
567.85,1
部省级,1
冲突,1
虚警率,1
环幕,1
纹理,1
重贴,1
高速移动,1
项均,1
服务费,1
欧亚,1
件次,1
畏原药,1
249.12,1
硅氧键,1
前言,1
CBB,1
重用,1
抗凝露,1
磁密,1
CHZ13,1
D800,1
T1250,1
T5273,1
T20626.1,1
201X,1
电小,1
用全,1
网省,1
丁基胶,1
钡盐,1
机顶,1
盒中,1
Wifi,1
顶盒,1
威盾,2
捷能,1
炉用炭,2
炭热场,2
模用,1
无铜少,1
种低,1
MD35A,1
CR30,1
ST12F,1
顶锤,1
圆棒,1
杂品,2
伞架,1
这五,1
暗香疏影,1
2305,1
北人杯,1
凹版,1
综合类,1
双控,1
海湾大桥,1
海事,1
上海港,1
机工程,1
新疆自治区,1
乌鲁木齐市,2
西星萝,1
第五次,1
2405.4,1
608.08,1
362.47,1
费占,3
843,1
884.83,1
891.53,1
企业宗旨,1
五针,2
横机,8
起底,2
罗拉,2
CX1,2
38C,2
GE04T12,2
型电脑,3
丝袜,2
76353.46,1
7982.94,1
14.45%,1
139.98,1
330.84,1
RFPON,2
光发,2
1550nm,2
外调制,1
GHz,2
MME,1
21648.24,1
1340.42,1
YTHN,3
28.93%,2
11.33%,1
250.73,1
三枪,1
兰精,1
德绒,1
环球,2
华天,1
昆山,1
025.66,1
59.08%,1
华南农业大学,1
761.72,1
36.15%,2
CAP1000,1
分样,1
链板,1
归批,1
样瓶,1
联合制,2
测氟仪,1
测氯仪,1
测汞仪,1
测硫仪,1
8632.8,1
656,1
677.58,1
DMA,1
外加,3
控流,1
水及,1
嗅味,1
水七厂,1
粉针,1
少油,2
炉脱,1
归口,1
具体指导,1
产出率,1
发展前途,1
通讯业,1
不可避免,1
传导性,1
手提电脑,1
铜浆,3
灌孔,3
沉铜法,1
孔法,1
呼吁,1
152.86,1
601.45,1
1194.65,1
30.45%,1
1507.32,1
902.77,1
ES,1
187.20,1
新机遇,1
第一项,1
符合率,1
77%,1
BLS,1
Fibrometer,1
2011ZX09201,1
YPA1100574,1
虫草,1
菌粉,1
冬虫夏草,1
酒肝舒,2
重新启动,1
肝细胞,3
联营公司,1
瑞建,1
蒙药,2
三臣,1
透骨,1
消肿,1
若有,1
半焦,1
合盛,2
桦甸,1
贺州,1
玉林,1
鑫昌泰,1
吉文,1
水泥公司,1
YE,1
喷塔,1
万用表,1
报文,1
京味,2
品尝,1
原汁,1
京韵,1
订位,1
45.5%,1
缺口,1
交通线,1
预可研,1
脱节,1
财务状况,1
如硬,1
软碳,1
IDS,3
iSYS,1
361.61,1
541.95,1
758.12,1
421.24,1
35.23%,1
662.72,1
899.61,1
210.05,1
21.71%,1
光式,1
射灯,1
商照,1
带隙,2
倒置,2
四结,4
30cm2,1
AMO,4
AM1.5,1
段性,1
203.95,1
2048,1
28.08%,1
2072,1
202.33,1
30cm,1
MCOFPCBLED,1
478.98,1
094.76,1
4inch,1
PSS,1
单电,1
DLP,2
微投,1
POD,1
银杏叶,1
DESA,1
东联,2
尼塔,2
EDSA,2
65.63%,1
王浩,1
刘鸿亮,1
河滨,1
连通性,1
损毁,1
盘县,1
阜阳市,1
十堰市,1
神定,1
河重,1
761,2
236.28,1
12.80%,1
年固,1
950.40,1
796.43,1
84.77%,1
9.18%,1
539.27,1
15.90%,1
联接件,1
有所改进,1
其能,1
3806.92,1
4475.83,1
251.79,1
23.35%,1
苏州大学,2
负离,1
高档轿车,1
994,3
378.38,1
14.85%,1
汽车装饰,1
运动性,1
供氧等,1
斯埃,3
哈佛大学,1
清华大学美术学院,1
万宁,1
半岛,1
西场,1
潍坊,1
白浪河,1
景观规划,2
湖州,1
南太湖,2
中央公园,1
欢乐谷,1
乐园,1
规划委,1
北斗星,1
脉络,1
闭塞,2
脉管炎,1
动脉硬化,1
脑血栓,1
大动脉炎,1
坏疽,1
血栓性,1
静脉炎,1
201210017784,1
2012.1,1
2031.2,1
ZL200410008733.6,1
2012.8,2
-----,2
2031.9,2
ZL201210292520.5,1
978,1
895.92,1
二十四,1
郴州市,2
含铅,1
铜高,1
氯氧铜,1
氯氧,1
金液,1
中含,1
骨板,1
高技,1
1303,1
ZYBZH,1
YN,4
花乙素,1
龙津,1
2012ZX09201201,1
005,1
Visa,2
ControlPackLM,1
井场,4
井试,1
探管,1
L325,1
衢州,2
2013BAD17B04,1
求是,1
嘉禾,1
储粮,1
钨粉,1
一出,3
费氏,1
热喷,1
指形,1
齿制,1
孔系,1
轴线,1
交汇,1
蜗杆,2
可动,1
ZL201010259179.4,1
联结,1
ZL201110055067.1,1
ZL201120237089.5,1
ZL201120263215.4,1
ZL201120298634.1,1
124.35%,1
57.79%,1
118.23%,1
化合,1
资支,1
机构编制,1
总负责人,1
签字,3
729.48,1
台账,2
每笔,2
849,1
748.27,1
有经,1
11.44%,2
2284.77,1
10.93%,1
667,1
597.46,1
850.69,1
2.44%,3
0.63,1
820.66,1
入较,1
844.85,1
12.10%,1
5866,1
SteelPhone,1
场和分,2
钢铁贸易,1
钢厂,4
交易过程,1
提单,1
结款,1
传输服务,1
搜钢,4
电子表格,1
报价单,4
交互性,3
栏目,1
逻辑性,1
英文版,1
钢贸商,1
分行业,1
图表,1
小幅度,1
547.59,1
三大制,1
造为,1
0.16,2
跨海大桥,2
0.72,1
选铜,1
大径,1
比高,1
如太,2
AudioStore,1
四网,1
微恋,1
邦富,6
稳妥,3
高理公,1
10GSFP,1
ER,1
零级,2
因私护照,1
62.11%,1
30.07%,1
419.47,1
299.52%,1
水回用,1
679.91,1
60.65%,1
171.51,1
眼内,1
眼内压,1
免受,1
WMO,2
388.52,1
Classic,1
平板式,1
431.63,1
206.06,1
25.72%,1
978.26,1
1.91%,2
94.93%,1
42.72%,1
CATV,1
YTMN,1
MoCA,1
FSK,1
OLT,1
24.65%,1
61.53%,1
85.13%,1
BGL130R,1
77.61,1
资管,1
趋缓,3
37.13%,1
百得,1
及规,1
单张,1
54.56%,1
890.87,1
11.67%,1
225.02,1
614.32,1
200.30%,1
三五,2
728.64,1
35944,1
占药,1
5.46%,1
34.01%,1
346.02,1
71.10%,1
浮顶,1
强磁,2
反循环,1
后封,1
隔器,1
坐封,1
锚加,1
引鞋,1
双耳,1
螺杆式,1
防掉,1
井区克,1
下组,1
层内,1
找水,1
2PE,1
抽油杆,1
倒扣,1
器研,1
明确规定,2
积性,1
953.66,1
ICSWP,1
第二期,1
Big,1
公共事业,1
信息网络,1
305.36%,1
游在研,1
盟军,1
暂定名,1
添购,1
手板,1
质量检验,3
消防设备,6
内补,4
压式,4
报警阀,5
无误,1
报等,1
监测中心,1
案列,1
计算机网络,1
排除故障,1
归结为,1
蔓延,1
因灾,1
财产损失,1
水炮,1
贴心,2
充装,2
单向阀,2
换向阀,1
送粉,1
Na,2
C2H5,2
灭火剂,4
复燃,1
喷放,1
压力表,1
计算机房,1
易燃品,1
库房,1
档案库,1
防护区,1
进水管,1
飞机库,1
耐侯钢,1
圆盘,5
扁钢,1
彩涂,1
南控北,1
西延,1
东进,1
瑞泽新,1
海南大学,1
海绵体,1
东岸,1
植草,1
固坡,1
帆船,1
Mai,1
资出,1
沃顿,3
沙文,4
大自然,7
防虫,2
205.31,1
41.84%,1
具则,1
信贷业务,3
全行,1
实例,1
KVM,1
股份制,2
农信社,1
商行,1
农信,1
承兑,1
企及,1
兑现,1
贴现,1
银票,1
放款,1
还款,1
结息,1
计提,3
利息,1
核销,2
日终,1
COBOL,1
C语言,1
开工率,1
派工,1
分派,1
46.83%,2
19.34%,1
金融市场,1
314.27,1
等级证书,1
368.04,1
海归,1
239.80%,1
理光,2
打印驱动,1
绘图仪,1
V3.5,2
工程图,1
V3.9,1
V3.1,1
教学效果,1
31.16%,2
5.11%,1
454.93,1
分析法,1
靠近,1
5222.16,1
朗星,2
207.82,1
航宇,3
555.31,1
投送,2
640.69,1
6949.96,1
1827.66,1
涂炭,1
895.47,1
84.68%,1
留置,1
035.69,1
267.16,1
768.53,1
健康秤,2
3118.06,1
412.57,1
15.25,1
3.31,1
加计,4
5122.30,1
1705.92,1
49.93%,1
329.37,1
199.41,1
6.96%,1
趋于稳定,2
29.27%,1
30.44%,1
1489.65,1
佛斯伯,1
ERW,2
衬塑,2
油气井,1
多丝,1
FBE,1
钢研院,1
869.93,1
衬塑玛,1
涂塑,1
曲率,1
SAWH,2
多段,1
HFW,1
焊缝,1
855.79,1
54.8,1
12.2%,1
4.6%,1
610.36,1
32.08%,2
通栓救,1
心片,1
乐凯,1
100.00,2
44.63%,1
优钢,1
脱氧,1
20CrMnTiH,1
40Cr,2
含硼,1
40Mn,1
60Si2MnA,1
提前完成,1
消块,2
兰州大学,1
专家论证,2
方药,1
定眩,1
大黄,2
六种,1
枸杞子,1
羌活,1
秦艽,1
等级分类,1
责任人,1
皮水,1
206.44,1
广范,1
身心,1
或全,1
复制到,1
烟包,1
礼品包装,1
出一系,1
新百,3
数千万,2
福音,3
占收,1
37Mn5,1
硼钢,1
S45C,1
S20C,1
382.55,1
2573.83,1
远高于,1
786.54,1
53.75%,1
金融机具,1
软带,1
塑包,1
塑封,1
整点,1
塑封机,1
交通银行,1
建设银行,2
工商银行,1
11.88,1
41%,1
KFR,1
25GW,1
AZ3dWa,1
E0,1
之星,1
AYBP,1
VJ1BP,1
房间,3
配管,1
调器,1
保部,1
拟用,1
716.53,1
药向,1
药和首,1
链上,1
829.85,1
645.43,1
51.03%,1
TLP,1
边际,1
095.79,1
无资,1
66.83%,1
38.33%,1
湿气,1
503.82,1
A3,1
115.42,1
2621.90,1
恢复健康,2
孕婴,1
118.47,1
099.37,1
5.56,1
1.85,2
750KV,3
铝绞线,3
66.19%,1
车组,1
DeNOx,1
钢包,1
耐材,1
45Mn,1
31.24,1
156%,1
10.62,1
112%,1
5788,1
9.23,1
软钢,1
N225LY,1
强海,1
工板,1
EQ63,1
高耐候,2
A709,1
NFT960,1
08Ni3DR,2
转向节,2
F40MnVS,2
X80MHD2,1
X80M,1
克低,2
无碳,2
复写,2
离型纸,1
掺合,1
白水,1
ONP,1
OMG,1
脱墨,1
纸机,1
马尾松,1
新闻纸,1
助留助,1
脱墨浆,1
74.31%,1
161.98,1
13.94%,2
444.73,1
631.95,1
4526.07,1
1.46%,3
重要依据,1
保墒,1
固碳,1
铜系,1
F16S,1
F10S,1
RA,1
LTV129,1
LTV174,1
磅礴,1
500X500,1
ROCK,1
合装,3
滑板,3
德梅柯,1
1.0%,1
氯盐,1
掺加,1
正移,1
源及,1
秘鲁,1
司在研,1
内培,1
外培,1
废品,1
2538.41,1
特粗,1
用微,1
853.17,1
黑钨矿,1
中加,1
炉头,1
比表面,1
脱磷除,1
罗克韦,1
强肺,1
流脑,1
5167,1
渐近,1
10GDFB,1
10GAPD,2
光器,1
100GQSFP28SR4,1
400GICR,1
OTDR,1
时域,2
光放,1
100dB,1
长距,1
Mems,1
25GROSA,1
TOSA,1
471.74,1
公共场合,2
坑道,2
面前,2
E10,5
助益,2
攻略,4
集团型,1
跨端,1
由内而外,1
备料,1
转型期,1
WebService,1
RESTAPI,1
Socket,1
外露,1
取用,2
知识面,1
蕴含,1
肩负着,1
贴身,1
试算,1
437.61,1
母粒,2
蛀虫,1
银色,1
24.84%,1
67.70%,1
596.89,1
班底,2
GV300GPS,1
百佳,1
辅佐,1
建构,2
DigiwinApplicationplatform,1
开发者,4
布建,1
企链,1
3407.86,1
28.90%,1
12.61%,1
接续,1
原本,2
买卖业,1
夥伴,1
广核,1
北京师范大学,2
中文信息处理,2
数十家,1
已能,2
金亚,2
瑞森思,1
1118.81,1
669.77%,1
87.36%,1
929.30%,1
48.97%,1
教学软件,2
鼎富,1
045.16,1
如本,1
卡拉,1
OK,1
我享,1
B0X,1
825.68,1
47.79%,1
实施细则,2
十项,4
入模,1
大纵坡,1
横坡,1
砂箱,1
寒区,1
温拌,1
防梁底,1
漏浆,1
盲沟,1
中施,1
以巩,1
信息源,1
多媒体业务,1
247.26,1
21.66%,1
146.92,1
35.32%,1
Linkdood,1
豆豆,1
新鲜血液,1
959.08,1
19.09%,1
NGFW,6
尖端技术,1
国密办,1
IPSEC,1
SSL,1
商密,1
泰合,4
合集,2
USM,1
缺项,1
FlowEye,2
隐蔽,1
FCM,1
FEA,1
BAP,1
IAP,1
插刀,3
赫安辐源,1
BMB3,1
1999C,1
10kg,1
低泄射,1
简捷,1
党政军,1
低辐射,3
计算机主机,1
阀块,1
底胶,2
再生胶,1
REACH144,1
ROHS8,1
REACH,2
春秋季,1
时间段,1
返炼,1
胶块,1
掉落,1
擦胶,1
大机,1
图饰,1
立体感,1
773,2
730.67,1
农村土地,1
4MZ,1
采棉头,1
肌肉注射,1
皮下注射,1
特免,2
病患,1
及皮,1
注人,1
签批,6
方可,2
验收报告,2
555.98,1
239.80,1
PAAS,2
带头作用,2
青贮饲料,2
集草箱,1
3000A,1
青黄,1
棉杆,1
农用地,1
光储充,2
硅藻,2
纯新,1
三十余,1
旋叶,2
320cc,1
480cc,1
乾坤,1
易经,1
事务,1
帐户,1
连乐,1
星辉,2
天拓,2
失密,1
带来不利,1
LTPS,3
ForceTouch,1
Oxide,2
771.40,1
10.04%,2
NLT,1
422.39,1
137.69%,1
代线,2
控制部件,1
129.07%,1
UMS,1
ITTS,1
头戴式,1
DTMF,1
激光雕刻,1
OID,1
兼有,2
口罩,2
服装业,2
制帽,2
防护用品,2
站间,3
贴息,2
及控,1
本章,1
中方,3
数居,1
第二位,1
十位,1
482,1
851.67,1
28.11%,1
吸扫车,1
抑尘车,1
检测车,1
HSZ,1
撒布,7
车辙,2
006.64,4
487.40,2
19.33%,2
吹雪,2
蛟龙,2
水稳,1
推扫,1
清扫,2
冷吹,1
PIRO,1
161.86,1
889.45,3
9.42%,1
1.47,1
直联式,1
43.99%,2
焊后,1
打砂,1
3663.83,1
DTIII2,1
自攻,1
螺钉,1
1471.43,1
1322.32,1
4882,1
领用,2
磷矿石,2
萃余酸,2
五氧化二磷,1
粉加,1
潘水且,1
塞妈,1
富过,1
精仪系,1
691.21,1
行树,1
舌胃,1
800.85,1
总工,3
瓦刀,1
砌墙,1
挂线,1
板状,1
以空分,1
提高素质,1
六万,1
一等,1
杭氧,2
900m3,1
反灌式,1
百万吨,1
翅片,2
3TYS130,1
2TYS80,1
三万,1
离心式,1
新泰,6
电器产品,2
陶瓷器,2
格林,11
力克,3
美均系,3
市场机制,4
美新,1
钴业,1
并期,1
31.2%,1
因公,1
46.58%,1
380.58,1
521,1
用时,2
昆仑,2
038.52,1
671.62,1
加工型,3
东安,1
4G15T,1
NSEmajor,1
H16,1
无缸,1
加工业,2
音频格式,1
吉视,6
汇通,1
4k,1
百日,1
会战,1
设计规划,2
VOD,2
服务器进行,1
并发流,1
临时性,1
联测,1
长春市,3
商品信息,1
家庭用户,1
外来,1
金融贸易,1
商务信息,1
向集,1
供求,1
DLAN,3
AIRPLAY,3
网量,1
看电视,1
充值卡,1
MMDS,1
15249.68,1
前市售,1
期以,1
肉丸,1
肉肠,1
各产,1
SSC,1
国联,1
海鲜,1
小龙虾,2
凡纳滨种,2
九里,2
超微粉,2
水产饲料,4
抵抗力,1
微冻,1
类食品,1
带头,1
漂汤,1
鲳鱼,1
种苗,3
流通业,3
景岳堂,7
560.66,1
186.35%,1
颗料,2
724.20,1
0.32%,2
206.93%,1
5.46,2
3.7,1
1.76,1
47.59%,1
MVNO,1
开卡,1
40000,1
RJM20,1
CPXX22,1
吹瓶,1
抗战,1
英雄传,1
天道,1
显卡,1
脐血多能,1
安普光,2
145.63,1
1.24%,3
802.19,1
790.08,1
占物联,1
8.58%,1
0808RGB,1
1516RGB,1
虚焊,1
inlay,1
label,1
tag151,1
鞋托,1
XDUT,1
XDUR,3
试衣间,1
平板机,1
阅读器,2
信达物,1
联将,1
以鞋,1
带电池,1
4146.76,1
金属外壳,1
紧急停车,1
疏散,1
天梭,1
指示牌,1
信达,1
LEDT8,1
玻璃灯,1
月宫,1
度全,1
LAMP346,1
2424,1
高内,1
NCSP1010,1
汇鲜达,3
已近尾声,1
柜于,1
WCDMA,1
主柜间,1
重启,1
提示信息,1
H.265,3
编码方式,1
三百万,1
租用,1
三氟柳,1
138.39,1
系为,1
性能需求,1
系优课,1
系智道,1
智道,2
泵阀,4
27.73%,1
878.03,1
0.68%,1
贵人,3
114.83,1
097.87,1
57.59%,1
航空公司,3
54.1%,1
869.56,1
46.20%,2
18.7%,1
431.20,1
永艺,1
坐具,1
窝重,1
猪无抗,1
鲫鱼,1
地方性,1
鸭料,1
优质化,2
4.15,1
冷制,1
鱼用,2
植酸,1
黄羽,1
5.58,1
合成纤维,1
料酒,1
084,1
486,1
收比,3
9.10%,2
面则,1
1934,1
24952.29,1
766.51,1
69.58%,2
385.20,1
69.03%,1
蜜蜂,6
美美,4
故自,2
专车,3
3505,1
166.6%,1
电气传动,8
GD2000,1
GD3000,1
GD20,2
丰富化,1
RMX,1
HTX11,1
DA200,3
主轴电机,1
GVD,2
辅控,1
GVD5xx,1
4157,1
配试,12
532,1
1788,1
5096,1
1479,1
T4,2
1317,1
340.16,1
MCLED,1
MicroLED,1
SuperSafe,1
走入,1
FullHD,1
十字线,1
鬼影,1
灰白,1
灰阶,2
礼堂,1
排列组合,1
顶部,1
375.70,1
290.02,1
29.54%,1
8.64%,1
曲普瑞林,1
替格瑞洛片,1
帕罗西,1
抗人,1
坏死,1
人绒,1
促性素,1
rhCG,1
CD20,2
IL,1
6R,1
全人抗,2
单克,1
金标,1
HBV,1
HCV,1
药艾,1
剂及,1
落户,2
丽珠集团,1
丽珠,1
AT132,1
LHoest,1
扶优扶强,1
575.50,1
474.78,1
铺层,1
变浆,1
屏保,3
派单,2
WOMS,1
出险,1
苯酚,6
双甘膦,1
苯嗪,2
吡氟酰草胺,2
精异丙甲,1
21.54%,1
TBM,1
环件,1
毫克,1
硬层,1
金相,1
非工程,1
及齿,1
所填,2
填写,4
白酒业,1
原产地,1
烈酒,1
生态学,1
利税,1
五粮液,3
国优,1
对五粮,1
6940.30,1
系磷,1
8572.03,1
氰铵,2
73.72%,1
16.78%,1
10.19%,1
11.29%,1
12423.83,1
35.42%,1
828.76,1
13.68%,1
308.61,1
515.14,1
322.50,1
0.85%,1
438.19,1
784.65,1
2.7%,2
437.77,1
444.39,1
总计有,1
明华,2
配电装置,2
建筑安装,1
杆塔,1
嵌岩,1
桩基础,1
省外,1
蛇脂,1
参黄,1
冠心康,1
不育症,1
不孕症,3
肾虚,3
精亏,3
血气,4
心灵,4
宝儿,3
康散,3
丹田,3
ZL200910174452.0,1
安堂,1
技艺,1
文化遗产,1
益心,1
解热,1
中医药局,2
计委,2
少弱,2
计划生育,2
不全,2
率本,1
是康,1
爱多,1
微循环,2
铅笔,2
乙酰基,1
皮胶,1
拼板,1
仍为,1
巨大作用,1
二十个,2
灯型,1
协作性,1
搜寻,1
15Y001,1
防外,1
风害,1
CMA,1
DM8148,1
云台,1
反外,1
调优,1
WIFIPORTAL,1
自研及,1
分压器,1
6250,1
PICS,1
桥壁,1
充设,1
417,1
4691.06,1
罗布,1
扎布,4
耶低,2
硼砂,5
精硼矿,2
较为简单,1
棉纺,6
招工难,2
断头,1
粗细,1
粗纱,3
万锭,1
中纺,1
棉纺织,1
鲁泰,1
锐达,1
大生,1
经纬,1
质量数,1
叶类,3
贯流,3
